tradingdate,closeprice,volume,open,high,low,symbol
2022-02-10,48.86,32762680,49.18,49.9325,48.76,intc
2022-02-09,49.91,35217300,49.33,49.97,48.825,intc
2022-02-08,48.81,28051190,47.98,48.94,47.9,intc
2022-02-07,48.18,27558470,48.13,48.66,47.96,intc
2022-02-04,48.01,32431490,47.86,48.2399,47.13,intc
2022-02-03,48.28,42145840,49.25,49.685,48.25,intc
2022-02-02,49.51,37962660,48.245,49.58,48.09,intc
2022-02-01,48.95,35386060,48.775,49.03,48.36,intc
2022-01-31,48.82,51828450,47.68,48.87,47.305,intc
2022-01-28,47.73,61945410,47.71,48.2,46.3,intc
2022-01-27,48.05,89642770,49.98,50.06,47.78,intc
2022-01-26,51.69,54895390,51.13,52.72,50.75,intc
2022-01-25,51,44095360,51.01,51.62,50.25,intc
2022-01-24,51.94,64273630,51.48,52.1291,49.88,intc
2022-01-21,52.04,46372370,52.08,53.1299,51.95,intc
2022-01-20,52.04,28582610,53.86,54.085,51.94,intc
2022-01-19,53.62,30595110,54.63,54.85,53.56,intc
2022-01-18,54.76,35332590,55.31,55.65,54.68,intc
2022-01-14,55.7,30151530,54.85,55.77,54.53,intc
2022-01-13,54.94,29605350,56,56.21,54.77,intc
2022-01-12,55.74,29136790,56.136,56.28,54.81,intc
2022-01-11,55.91,39795190,55.5,56.08,54.73,intc
2022-01-10,55.21,49260830,53.97,55.31,53.31,intc
2022-01-07,53.44,30717220,54.19,54.39,53.15,intc
2022-01-06,54.01,35757880,54.61,54.67,53.415,intc
2022-01-05,53.87,59109320,54.188,56.17,53.83,intc
2022-01-04,53.14,45681380,53.57,53.935,52.65,intc
2022-01-03,53.21,33892930,51.65,53.23,51.6,intc
